section,ref,part_number,description,manufacturer,qty,unit_cost_usd,ext_cost_usd,lcsc,notes
PUCK,HAP2,G1040003D-LRA,10mm LRA 175Hz,Jinlong,1,1.40,1.40,C?????,verify-before-order
PUCK,LCD1,GC9A01-1.3in-240,1.3in 240x240 round SPI LCD,DisplayCo,1,4.60,4.60,C?????,verify-before-order
PUCK,BAT1,LP503562-1500mAh,1500mAh LiPo w/ protection,Generic,1,3.80,3.80,N/A,verify-before-order
PUCK,U22,TP4056+DW01,USB-C charge + protect,NanJing,1,0.42,0.42,C16581,verify-before-order
PUCK,U23,MP1584EN,5V to 3.3V buck,MPS,1,0.38,0.38,C89358,verify-before-order
PUCK,SW1,silicone-dome-12mm,silicone dome switch,Generic,4,0.18,0.72,N/A,
PUCK,MEC10,TPU-PUCK-SHELL,TPU overmould shell 90mm,Custom CM,1,3.40,3.40,N/A,verify-before-order
PUCK,PCB2,RIGID-FR4-4L-HASL,4L FR4 60x60mm,JLCPCB,1,1.80,1.80,N/A,
PUCK,MISC2,passives-puck,R/C/L + USB-C jack + magnets,Various,1,2.20,2.20,N/A,
WRIST,U30,ESP32-C3-MINI-1,Wi-Fi/BLE SoC,Espressif,1,1.60,1.60,C2934569,verify-before-order
WRIST,U31,SX1262IMLTRT,LoRa transceiver,Semtech,1,5.40,5.40,C404789,verify-before-order
WRIST,U32,DRV2605LDGSR,haptic driver,Texas Instruments,1,2.20,2.20,C92482,verify-before-order
WRIST,HAP3,G1040003D-LRA,10mm LRA,Jinlong,1,1.40,1.40,C?????,verify-before-order
WRIST,BAT2,LP402030-350mAh,350mAh LiPo,Generic,1,1.80,1.80,N/A,verify-before-order
WRIST,U33,TP4056+DW01,USB-C charge+protect,NanJing,1,0.42,0.42,C16581,verify-before-order
WRIST,ANT3,915MHz-chip-ant,915MHz chip antenna + matching,Johanson,1,1.20,1.20,C?????,verify-before-order
WRIST,MEC20,SILICONE-WRIST-SHELL,Hi-vis silicone shell + strap,Custom CM,1,2.80,2.80,N/A,verify-before-order
WRIST,PCB3,RIGID-FR4-4L-FLEX-RIGID,small 4L flex-rigid 38x30mm,JLCPCB,1,2.40,2.40,N/A,
WRIST,MISC3,passives-wrist,R/C/L + LEDs + button,Various,1,1.10,1.10,N/A,
TOTAL,,,,,, ,498.40,,verify-before-order; roof ~448 + puck ~25.57 + wrist ~20.32
