ref_des,part_description,manufacturer,mfg_part_number,lcsc_part_number,jlcpcb_part_number,qty_per_unit,unit_price_usd_qty1k,source_notes
ENC5,IP68 Cable Gland M20 Stainless Steel,Lapp Kabel,SKINTOP MS-M20,N/A,N/A,3,4.80,training-data reference (verify) — 3x glands: AC power, Ethernet, spare; verify M20 thread depth
ENC6,M6 A4 Stainless Steel Security Captive Screw Torx T20,Tr-Fastenings,TFC M6x16 T20,N/A,N/A,16,0.55,training-data reference (verify) — tamper-resistant fasteners; verify captive nut plate
ENC7,Anti-microbial Vinyl Wrap Sheet (front face graphic),3M,IJ180mC-10,N/A,N/A,1,12.00,training-data reference (verify) — Microban-treated wrap; custom print for UI labels
ENC8,Wall-Mount Bracket Adjustable 316 SS,custom fab,N/A,N/A,N/A,1,22.00,training-data reference (verify) — custom bracket; ADA height adjustment; M12 through-bolts not included
MISC1,UV-C LED Strip 265nm 100mW 300mm,Seoul Viosys,CUN6AF4A,N/A,N/A,1,14.00,training-data reference (verify) — for idle sanitization cycle; verify UV-C safety compliance EN 62471
MISC2,PIR Occupancy Sensor Module 5m range,Panasonic,EKMC1603111,C258623,C258623,1,3.40,best-guess (verify) — LCSC stock; used for camera wake trigger
MISC3,Ambient Light Sensor I2C VEML7700,Vishay,VEML7700-TT,C78927,C78927,1,0.95,best-guess (verify) — LCSC stock; for backlight auto-brightness control
MISC4,RTC Module DS3231 with battery backup,Maxim,DS3231MZ+,C60863,C60863,1,2.80,best-guess (verify) — LCSC C-number; I2C interface; for offline log timestamping
MISC5,Tamper Microswitch SPDT 0.1A 30V,Omron,SS-5GL,C258919,C258919,2,0.75,best-guess (verify) — rear panel + hinge tamper detection; verify actuation force
MISC6,64GB eMMC Module for Jetson Orin Nano,Kingston / Swissbit,N/A (OEM),N/A,N/A,1,18.00,training-data reference (verify) — Jetson Orin Nano has onboard eMMC; external SD card for logs only
MISC7,32GB Industrial MicroSD Card (log storage),Western Digital,SDSQQVR-032G,N/A,N/A,1,9.00,training-data reference (verify) — industrial temp rating -40 to +85C; verify write endurance rating
MISC8,Thermal Interface Pad 3W/mK 100x100x1mm,Bergquist / Laird,GP3000,N/A,N/A,2,3.50,training-data reference (verify) — between Jetson module and SS rear panel heat spreader; verify clamping pressure
MISC9,Fan (NONE — fanless design passive cooling),N/A,N/A,N/A,N/A,0,0.00,fanless design — Jetson Orin Nano passive thermal via SS enclosure rear panel heatsink
MISC10,Custom PCBA (power distribution + IO breakout),in-house design,N/A,N/A,N/A,1,35.00,training-data reference (verify) — 4-layer PCB ~80x60mm; includes DC rails, audio amp, SIM tray, ALS, PIR; JLCPCB PCBA estimate
