qty,reference,description,manufacturer,mfg_pn,lcsc_pn,jlcpcb_pn,unit_cost_usd,extended_cost_usd,notes
1,ANT1,"915MHz LoRa antenna, flex PCB, IPEX",Linx / Pulse,ANT-915-FPC-UFL,C?????,C?????,1.45,1.45,verify-before-order
1,ANT2,"2.4GHz BLE chip antenna",Yageo / Johanson,2450AT18A100E,C?????,C?????,0.42,0.42,verify-before-order
1,FUSE1,"Polyfuse 3A trip + 30A pulse fuse",Littelfuse,1812L300,C115603,C115603,0.22,0.22,verify-before-order
1,SW1,"Tactile pushbutton, IP67, side-actuated",E-Switch,RP3502MA,C?????,C?????,1.10,1.10,verify-before-order; chest hub power/menu
1,LED1,"RGB LED 0805, status",Everlight,EAST1010RGBA0,C?????,C?????,0.28,0.28,verify-before-order
1,XTAL1,"32.768kHz crystal, RTC",Abracon,ABS07-32.768KHZ,C32346,C32346,0.18,0.18,verify-before-order
1,XTAL2,"32MHz TCXO, LoRa reference",Abracon,ASTX-H11-32.000MHZ,C?????,C?????,0.95,0.95,verify-before-order
40,R+C,"Passives — 0402 resistors and MLCCs (kitted)",Yageo / Samsung,Mixed,C?????,C?????,0.012,0.48,verify-before-order; ~40 parts kitted by JLC
1,PCB1,"Hub PCB, 6-layer, IP-grade ENIG, 60x40mm",JLCPCB,Custom,n/a,JLCPCB,2.20,2.20,verify-before-order; @1k panelized
4,PCB2,"IMU pod sub-board, 2-layer, 18x12mm",JLCPCB,Custom,n/a,JLCPCB,0.35,1.40,verify-before-order
1,FFC1,"Flat-flex cable kit, silicone-jacket, 28AWG, custom 8-cond",Würth / custom,Custom,C?????,C?????,4.50,4.50,verify-before-order; sleeve-routed
4,POD,"IMU pod housing, ABS injection mold, snap-on",Custom mold,Custom-POD-v1,n/a,n/a,1.20,4.80,verify-before-order; tooling amortized
1,HUB-ENC,"Hub housing, IP66 PU over-mold, FR",Custom mold,Custom-HUB-v1,n/a,n/a,3.40,3.40,verify-before-order; tooling amortized
1,VEST,"ANSI/ISEA 107 Type R Class 3 FR vest, with sewn liner",Radians + CMT,SV59-LINER,n/a,n/a,28.00,28.00,verify-before-order; sourced + modified
1,VEL,"Velcro / hook-loop kit + retention straps",3M,SJ3526N,C?????,C?????,1.60,1.60,verify-before-order
1,LBL,"FCC / ISED / serial label, polyimide",Brady,Custom,n/a,n/a,0.30,0.30,verify-before-order
1,PKG,"Retail box + foam insert + quickstart card",Custom,Custom-PKG-v1,n/a,n/a,2.80,2.80,verify-before-order
1,CABLE,"USB-C to USB-C charging cable, 1m, IP54",Generic,USB-C-1M-IP54,C?????,C?????,1.95,1.95,verify-before-order
1,ASSY,"PCBA assembly labor (JLC SMT @ qty 1k, both PCBs)",JLCPCB,n/a,n/a,n/a,6.50,6.50,verify-before-order
1,INTG,"Final integration: stitch liner, route FFC, fit pods, QA",Internal / CM,n/a,n/a,n/a,9.00,9.00,labor estimate @ 1k qty
1,TEST,"Functional test + RF cal + 30-min burn-in",Internal,n/a,n/a,n/a,2.40,2.40,test fixture amortized
1,SHIP,"Inbound logistics + duty allocation",n/a,n/a,n/a,n/a,1.80,1.80,verify-before-order
TOTAL,,,,,,,,141.45,"BOM @ qty 1k; verify-before-order across all lines"
